"Priority","Cluster ID","Work Order ID","Work Order Status","Barcode ID","Location: ","Days Active","Creation Date"
"High","1d6c31dffea6472fb0bbdcc93","","Open","A1N57G","(197117, 129127)","0","2025-11-02 21:09:17 EST"
"High","3c925fa987f24db98cac23389","","Open","A8DMEP","(188684, 1054)","0","2025-11-03 05:29:17 EST"
"High","616e9548d2e54ed09133b2552","","Open","AA7ERD","(203441, 130708)","0","2025-11-03 05:29:17 EST"
"High","dfa95c426c7a4775a296bdd1d","","Open","A8AZMZ","(157061, 0)","0","2025-11-03 05:29:17 EST"
"Low","null","undefined","undefined","ULMY58","(157061, 37948)","0","2025-11-03 05:21:40 EST"
"Low","null","undefined","undefined","0NKKMQ","(150736, 119113)","0","2025-11-03 05:21:40 EST"
"Low","null","undefined","undefined","A8ASZP","(158115, 89599)","0","2025-11-03 05:21:40 EST"
"Low","null","undefined","undefined","ZJSD45","(260363, 7379)","0","2025-11-03 01:12:48 EST"
"Low","null","undefined","undefined","AA7HSM","(204495, 121222)","0","2025-11-03 01:12:48 EST"
"Low","null","undefined","undefined","AA7HBU","(108572, 24244)","0","2025-11-03 01:12:48 EST"
"Low","null","undefined","undefined","AA7H7C","(145466, 111735)","0","2025-11-03 01:12:48 EST"
"Low","null","undefined","undefined","A2KPBR","(131763, 59030)","0","2025-11-03 01:12:48 EST"
"Low","null","undefined","undefined","ULQV59","(261417, 72733)","0","2025-11-02 21:02:23 EST"
"Low","null","undefined","undefined","03HJYU","(163386, 103302)","0","2025-11-02 21:02:23 EST"
"Low","null","undefined","undefined","VZKJ33","(123330, 64300)","0","2025-11-02 17:11:20 EST"
"Low","null","undefined","undefined","VYEP72","(123330, 20028)","0","2025-11-02 13:02:29 EST"
"Low","null","undefined","undefined","AA7HSS","(157061, 48489)","0","2025-11-02 13:02:29 EST"
"Low","null","undefined","undefined","A0VZAA","(127546, 35839)","1","2025-11-02 05:15:04 EST"
"Low","null","undefined","undefined","0RPNRN","(144412, 87490)","1","2025-11-02 01:20:12 EST"
"Low","null","undefined","undefined","0RP9JB","(36894, 111735)","1","2025-11-02 01:20:12 EST"
"Low","null","undefined","undefined","A1N5JN","(153899, 120167)","1","2025-11-01 22:01:49 EDT"
"Low","null","undefined","undefined","A2H0BH","(78003, 94869)","1","2025-11-01 10:08:13 EDT"
"Low","null","undefined","undefined","A0W4AB","(102248, 83274)","2","2025-11-01 06:06:36 EDT"
"Low","null","undefined","undefined","03HFKR","(164440, 4216)","2","2025-11-01 02:07:00 EDT"
"Low","null","undefined","undefined","VYJB09","(29515, 46380)","2","2025-11-01 02:07:00 EDT"
"Low","null","undefined","undefined","0NKMBR","(55867, 8433)","2","2025-11-01 02:07:00 EDT"
"Low","null","undefined","undefined","VYCD22","(160223, 83274)","2","2025-10-31 10:13:30 EDT"
"Low","null","undefined","undefined","A2H3GY","(150736, 85382)","3","2025-10-31 02:07:14 EDT"
"Low","null","undefined","undefined","0LM9LA","(74841, 66408)","3","2025-10-30 18:10:58 EDT"
"Low","null","undefined","undefined","VYXJ68","(1054, 121222)","4","2025-10-30 02:08:24 EDT"
"Low","null","undefined","undefined","03HFLE","(93815, 115951)","5","2025-10-28 10:17:46 EDT"
"Low","null","undefined","undefined","A2X6YF","(157061, 67462)","6","2025-10-28 06:27:00 EDT"
"Low","null","undefined","undefined","0RP9UE","(176035, 89599)","7","2025-10-27 06:02:52 EDT"
"Low","null","undefined","undefined","03HPDH","(167602, 8433)","8","2025-10-25 10:06:22 EDT"
"Low","null","undefined","undefined","YTEF34","(169710, 121222)","10","2025-10-23 14:12:54 EDT"
"Low","null","undefined","undefined","A2X7BQ","(144412, 94869)","11","2025-10-23 06:12:30 EDT"
"Low","null","undefined","undefined","VYXA15","(24244, 100140)","12","2025-10-21 10:26:21 EDT"
"Low","null","undefined","undefined","AA7HJG","(139141, 9487)","17","2025-10-16 22:06:40 EDT"
"Low","null","undefined","undefined","A0VZEQ","(161277, 94869)","20","2025-10-13 22:05:58 EDT"
"Low","null","undefined","undefined","VYCN24","(181305, 10541)","30","2025-10-03 10:04:13 EDT"
"Low","null","undefined","undefined","VYXP61","(254038, 78003)","44","2025-09-20 02:07:54 EDT"
"Low","null","","Open","YUCE12","(70625, 94869)","1","2025-11-02 09:09:16 EST"
"Low","null","","Open","05RSNA","(109626, 118059)","0","2025-11-02 21:09:17 EST"
